year,month,state,T2M,QV2M,U10M,V10M,PS,SLP,PRECTOT,EVAP,SWGDN,LWGNT,CLDTOT
1995,1,Andaman and Nicobar,300.3315734863281,0.018153298646211624,-5.579841136932373,-2.711341142654419,100993.5,101102.1171875,2.742976175795775e-05,6.120240141171962e-05,223.93093872070312,-52.27818298339844,0.690466582775116
1995,1,Andhra Pradesh,294.1219787597656,0.010884281247854233,-2.0797882080078125,0.08588483184576035,98080.6484375,101492.7734375,1.7765216398402117e-05,2.5582801754353568e-05,223.1614990234375,-78.55606842041016,0.3595868945121765
1995,1,Arunachal Pradesh,278.7392883300781,0.004407626111060381,-0.19931258261203766,0.01442235428839922,81991.5625,101634.1171875,1.4250518688641023e-05,1.8051021470455453e-05,184.4916229248047,-85.46549224853516,0.17269539833068848
1995,1,Assam,288.564697265625,0.005685972981154919,-0.4784212112426758,-0.47648125886917114,98638.390625,101631.8671875,4.2689637780313205e-07,1.53632336150622e-05,187.29672241210938,-88.42437744140625,0.11931408196687698
1995,1,Bihar,289.1945495605469,0.004181734751909971,1.6607584953308105,-0.24527041614055634,100535.1328125,101694.8671875,6.867384399811272e-06,7.485682999686105e-06,187.30142211914062,-97.35702514648438,0.16868279874324799
1995,1,Chhattisgarh,289.9093017578125,0.007304970640689135,-0.958037793636322,-0.38661959767341614,96811.3515625,101638.171875,2.734856025199406e-05,2.446892176521942e-05,206.0297088623047,-85.42850494384766,0.24071502685546875
1995,1,Gujarat,292.8569030761719,0.004778619389981031,-1.1247978210449219,-2.145073652267456,100662.4921875,101624.6171875,5.977510681987042e-07,6.647021564276656e-06,212.5938720703125,-110.51785278320312,0.15603689849376678
1995,1,Haryana,285.8306579589844,0.003953974694013596,0.669349193572998,-1.4524832963943481,99148.0078125,101817.03125,1.3905209925724193e-05,7.770310730847996e-06,164.57733154296875,-90.87488555908203,0.19534142315387726
1995,1,Himachal Pradesh,267.6621398925781,0.0021915521938353777,-0.008391868323087692,0.07616189867258072,72595.765625,102278.7109375,3.6723402445204556e-05,6.537185527122347e-06,149.86717224121094,-72.18536376953125,0.4351174831390381
1995,1,Jammu and Kashmir,260.2396240234375,0.00163847126532346,0.20566344261169434,0.4157693684101105,65909.953125,102616.3125,1.727061317069456e-05,5.100385806144914e-06,144.16665649414062,-62.24064636230469,0.5188808441162109
1995,1,Jharkhand,288.5322570800781,0.0054618255235254765,1.1274832487106323,-0.9729421734809875,97578.703125,101693.296875,1.8192586139775813e-05,1.838283787947148e-05,196.1164093017578,-89.87681579589844,0.19894365966320038
