year,month,state,T2M,QV2M,U10M,V10M,PS,SLP,PRECTOT,EVAP,SWGDN,LWGNT,CLDTOT,label,label_name
1995,1,Andaman and Nicobar,300.3315734863281,0.0181532986462116,-5.579841136932373,-2.711341142654419,100993.5,101102.1171875,2.742976175795775e-05,6.120240141171962e-05,223.93093872070312,-52.27818298339844,0.690466582775116,0,Normal
1995,1,Andhra Pradesh,294.1219787597656,0.0108842812478542,-2.0797882080078125,0.0858848318457603,98080.6484375,101492.7734375,1.7765216398402117e-05,2.5582801754353568e-05,223.1614990234375,-78.55606842041016,0.3595868945121765,4,Cold_E
1995,1,Arunachal Pradesh,278.7392883300781,0.0044076261110603,-0.1993125826120376,0.0144223542883992,81991.5625,101634.1171875,1.4250518688641025e-05,1.8051021470455453e-05,184.4916229248047,-85.46549224853516,0.1726953983306884,0,Normal
1995,1,Assam,288.564697265625,0.0056859729811549,-0.4784212112426758,-0.4764812588691711,98638.390625,101631.8671875,4.268963778031321e-07,1.53632336150622e-05,187.29672241210935,-88.42437744140625,0.1193140819668769,0,Normal
1995,1,Bihar,289.1945495605469,0.0041817347519099,1.6607584953308103,-0.2452704161405563,100535.1328125,101694.8671875,6.867384399811272e-06,7.485682999686105e-06,187.30142211914065,-97.35702514648438,0.1686827987432479,0,Normal
1995,1,Chhattisgarh,289.9093017578125,0.0073049706406891,-0.958037793636322,-0.3866195976734161,96811.3515625,101638.171875,2.734856025199406e-05,2.446892176521942e-05,206.0297088623047,-85.42850494384766,0.2407150268554687,4,Cold_E
1995,1,Gujarat,292.8569030761719,0.004778619389981,-1.124797821044922,-2.145073652267456,100662.4921875,101624.6171875,5.977510681987042e-07,6.647021564276656e-06,212.5938720703125,-110.51785278320312,0.1560368984937667,0,Normal
1995,1,Haryana,285.8306579589844,0.0039539746940135,0.669349193572998,-1.452483296394348,99148.0078125,101817.03125,1.3905209925724192e-05,7.770310730847996e-06,164.57733154296875,-90.87488555908205,0.1953414231538772,2,Wet_Fl
1995,1,Himachal Pradesh,267.6621398925781,0.0021915521938353,-0.0083918683230876,0.0761618986725807,72595.765625,102278.7109375,3.672340244520456e-05,6.537185527122347e-06,149.86717224121094,-72.18536376953125,0.4351174831390381,4,Cold_E
1995,1,Jammu and Kashmir,260.2396240234375,0.0016384712653234,0.2056634426116943,0.4157693684101105,65909.953125,102616.3125,1.727061317069456e-05,5.100385806144914e-06,144.16665649414062,-62.24064636230469,0.5188808441162109,4,Cold_E
1995,1,Jharkhand,288.5322570800781,0.0054618255235254,1.1274832487106323,-0.9729421734809875,97578.703125,101693.296875,1.8192586139775813e-05,1.838283787947148e-05,196.1164093017578,-89.87681579589844,0.1989436596632003,2,Wet_Fl
1995,1,Karnataka,294.5101623535156,0.0099808294326066,-2.0156404972076416,0.0864585116505622,94653.0234375,101324.4375,1.560161581437569e-05,1.959982000698801e-05,238.5874938964844,-88.93054962158203,0.4087107479572296,2,Wet_Fl
1995,1,Kerala,298.2488708496094,0.0134011525660753,-0.4768327474594116,-0.4968237280845642,98075.375,101200.90625,2.1505102267838083e-05,3.53057257598266e-05,243.50299072265625,-74.25917053222656,0.4983433485031128,2,Wet_Fl
1995,1,Madhya Pradesh,289.2175598144531,0.0047860662452876,-0.7478000521659851,-0.7914877533912659,96879.7265625,101676.21875,1.1529998118930962e-05,9.80026106844889e-06,200.5845489501953,-99.38555908203124,0.175938680768013,2,Wet_Fl
1995,1,Maharashtra,292.6327514648437,0.0066978903487324,-1.3728868961334229,-0.2115365266799926,96538.890625,101486.2578125,1.8818091120920144e-05,1.3941565157438164e-05,224.2875518798828,-100.7580108642578,0.2124311625957489,4,Cold_E
1995,1,Manipur,287.0664367675781,0.0040444904007017,0.5264696478843689,-0.2358704805374145,91524.7109375,101518.8125,1.7968450265470892e-06,6.036067134118639e-06,200.79351806640625,-97.1745376586914,0.1284827440977096,0,Normal
1995,1,Meghalaya,286.5090637207031,0.0051502878777682,0.1420802325010299,-0.4922815263271332,94117.3828125,101588.4296875,6.628462756452791e-07,1.8203489162260663e-05,194.2930145263672,-91.38109588623048,0.1436789333820343,0,Normal
1995,1,Mizoram,289.40380859375,0.0038341933395713,0.0223666280508041,-0.3679259419441223,94010.75,101484.0703125,2.650672570325696e-07,3.866866336466046e-06,210.2359771728516,-101.3469696044922,0.1353448778390884,0,Normal
1995,1,Nagaland,285.1282958984375,0.0050242515280842,0.1437641829252243,0.2049199789762497,90587.734375,101585.1875,1.963088607226382e-06,1.693373269517906e-05,194.2243194580078,-86.65367889404297,0.1283023655414581,0,Normal
