model,model_type,mae,rmse,r2,training_time_s,prediction_time_s,training_samples
gradient_boosting_regressor,classical,0.5543033152647152,0.731822189907236,0.9928417243062946,0.0,0.004616799997165799,8400
xgboost_regressor,classical,0.5463842749595642,0.7350629465565454,0.9927781820297241,0.0,0.037561199998890515,8400
random_forest_regressor,classical,0.6086452106852639,0.8237042467248332,0.9909314075804775,0.0,0.11098819999824627,8400
neural_network_regressor,classical,0.7399080991744995,0.9930062107610331,0.9868204593658447,0.0,0.05272319999858155,8400
ridge_regression,classical,1.1548680067062378,1.4261479990372952,0.9728151559829712,0.0,0.0004679000012401957,8400
QSVR,quantum,4.030201221704487,6.557764590709165,0.4252103782719556,873.7134291999992,1.9999788491986692e-07,400
VQR,quantum,21.8827714598844,23.238679185916194,-6.218054454816034,303.32556300000033,2.00001522898674e-07,400
